Gene stable ID version,Transcript stable ID version,Strand,Exon region start (bp),Exon region end (bp),Chromosome/scaffold name
ENSG00000263681.1,ENST00000582241.1,+,41167557,41167629,21
ENSG00000227702.1,ENST00000413718.1,+,41679181,41679510,21
ENSG00000227702.1,ENST00000413718.1,+,41688323,41688468,21
ENSG00000227702.1,ENST00000413718.1,+,41697238,41697336,21
ENSG00000236883.1,ENST00000423276.1,+,41739373,41739671,21
ENSG00000236883.1,ENST00000423276.1,+,41741147,41741308,21
ENSG00000275166.1,ENST00000622292.1,-,41746772,41746841,21
ENSG00000223262.1,ENST00000411330.1,+,42221173,42221286,21
ENSG00000160182.3,ENST00000291527.3,-,42366411,42366535,21
ENSG00000160182.3,ENST00000291527.3,-,42363255,42363407,21
ENSG00000160182.3,ENST00000291527.3,-,42362282,42362495,21
ENSG00000252619.1,ENST00000516810.1,-,42417497,42417593,21
ENSG00000239930.2,ENST00000416179.1,+,42496539,42496665,21
ENSG00000239930.2,ENST00000416179.1,+,42496823,42496933,21
ENSG00000239930.2,ENST00000416179.1,+,42497233,42497443,21
ENSG00000235772.1,ENST00000442605.1,-,42561436,42561934,21
ENSG00000235772.1,ENST00000442605.1,-,42560374,42560449,21
ENSG00000235023.1,ENST00000424890.1,-,42650564,42651244,21
ENSG00000235023.1,ENST00000424890.1,-,42648271,42650443,21
ENSG00000214326.2,ENST00000398116.2,+,43551229,43551600,21
ENSG00000234289.6,ENST00000599962.2,+,43565182,43565648,21
ENSG00000278433.1,ENST00000613967.1,-,43609887,43609989,21
ENSG00000237604.1,ENST00000411956.1,+,44175489,44175535,21
ENSG00000237604.1,ENST00000411956.1,+,44175680,44176453,21
ENSG00000275799.1,ENST00000620163.1,+,44244545,44244993,21
ENSG00000232010.1,ENST00000442785.1,+,44250813,44250941,21
ENSG00000232010.1,ENST00000442785.1,+,44251127,44251520,21
ENSG00000184441.4,ENST00000448927.1,+,44331234,44332937,21
ENSG00000184441.4,ENST00000448927.1,+,44333202,44335851,21
ENSG00000260256.1,ENST00000568332.1,-,44347767,44348295,21
ENSG00000266692.1,ENST00000581669.1,+,44437121,44437175,21
ENSG00000264452.1,ENST00000583496.1,+,44439035,44439110,21
ENSG00000287088.1,ENST00000658407.1,+,44530172,44531537,21
ENSG00000287088.1,ENST00000658407.1,+,44532285,44533145,21
ENSG00000215455.4,ENST00000400375.1,-,44538981,44540195,21
ENSG00000212935.2,ENST00000391620.2,-,44557790,44558795,21
ENSG00000241123.1,ENST00000400372.1,-,44579455,44580604,21
ENSG00000188155.11,ENST00000400368.1,-,44591268,44592505,21
ENSG00000272804.3,ENST00000609664.2,+,44600597,44602174,21
ENSG00000187766.1,ENST00000334662.2,+,44612079,44612954,21
ENSG00000221859.2,ENST00000380095.2,+,44637356,44638455,21
ENSG00000243489.4,ENST00000334670.9,+,44646414,44647650,21
ENSG00000212933.1,ENST00000391618.1,-,44654213,44654659,21
ENSG00000205439.10,ENST00000397907.1,+,44657932,44658341,21
ENSG00000221864.4,ENST00000360770.3,-,44666189,44666927,21
ENSG00000229880.1,ENST00000435590.1,-,44675868,44678086,21
ENSG00000187175.5,ENST00000391617.1,-,44681576,44682163,21
ENSG00000276647.1,ENST00000617417.1,+,44686358,44686629,21
ENSG00000236382.1,ENST00000412914.1,+,44702221,44702791,21
ENSG00000273027.1,ENST00000609461.1,-,44929653,44930112,21
ENSG00000272825.1,ENST00000609953.1,+,44936303,44936954,21
ENSG00000276529.1,ENST00000616815.1,+,44978832,44979274,21
ENSG00000261706.1,ENST00000569966.1,-,44994362,44995185,21
ENSG00000229382.1,ENST00000445242.1,+,45336707,45336815,21
ENSG00000229382.1,ENST00000445242.1,+,45338396,45338665,21
ENSG00000275139.1,ENST00000617854.1,-,45759804,45763758,21
ENSG00000205424.2,ENST00000380008.2,-,45836286,45837987,21
ENSG00000205424.2,ENST00000380008.2,-,45832608,45832658,21
ENSG00000205424.2,ENST00000380008.2,-,45827961,45831241,21
ENSG00000286886.1,ENST00000658513.1,-,45888494,45888638,21
ENSG00000286886.1,ENST00000658513.1,-,45861830,45865449,21
ENSG00000276633.1,ENST00000618749.1,+,45870854,45873345,21
ENSG00000280604.1,ENST00000626237.1,+,45914296,45917399,21
ENSG00000280604.1,ENST00000626237.1,+,45917588,45918647,21
ENSG00000280604.1,ENST00000626237.1,+,45918841,45919483,21
ENSG00000237338.1,ENST00000446649.1,+,46151614,46151759,21
ENSG00000237338.1,ENST00000446649.1,+,46152294,46152647,21
ENSG00000221398.1,ENST00000408471.1,-,34456110,34456237,21
ENSG00000238257.1,ENST00000424582.1,-,30762682,30762882,21
ENSG00000233036.1,ENST00000440620.1,-,30802242,30802427,21
ENSG00000227840.1,ENST00000423658.1,-,30806932,30807119,21
ENSG00000183640.6,ENST00000329621.6,-,30812697,30813274,21
ENSG00000274749.1,ENST00000621162.1,-,30829039,30829759,21
ENSG00000182591.6,ENST00000332378.6,-,30880644,30881580,21
ENSG00000206102.2,ENST00000382822.2,-,31038159,31038476,21
ENSG00000228941.1,ENST00000429033.1,-,31061722,31063168,21
ENSG00000228941.1,ENST00000429033.1,-,31060600,31061411,21
ENSG00000286643.1,ENST00000653041.1,+,31347736,31347859,21
ENSG00000286643.1,ENST00000653041.1,+,31348165,31348331,21
ENSG00000286643.1,ENST00000653041.1,+,31357311,31359157,21
ENSG00000237325.3,ENST00000490865.1,+,31452466,31453223,21
ENSG00000237594.2,ENST00000433071.2,+,31559245,31559595,21
ENSG00000237594.2,ENST00000433071.2,+,31560017,31560487,21
ENSG00000230870.2,ENST00000393804.2,-,31627127,31628600,21
ENSG00000238390.1,ENST00000458922.1,+,31664306,31664482,21
ENSG00000273271.1,ENST00000609934.1,-,31666728,31667247,21
ENSG00000229046.1,ENST00000445197.1,+,31706555,31706864,21
ENSG00000273091.1,ENST00000610276.1,+,31735732,31736407,21
ENSG00000214867.3,ENST00000399149.2,-,36295173,36295702,21
ENSG00000273199.1,ENST00000608391.1,-,36319792,36320670,21
ENSG00000228107.1,ENST00000397184.2,+,36360630,36360858,21
ENSG00000228107.1,ENST00000397184.2,+,36361674,36362040,21
ENSG00000233056.4,ENST00000447535.2,-,42925346,42925630,21
ENSG00000233056.4,ENST00000447535.2,-,42916803,42919291,21
ENSG00000215454.7,ENST00000400374.4,+,44573729,44575371,21
ENSG00000274790.1,ENST00000616522.1,-,6223480,6223580,21
ENSG00000280019.1,ENST00000624484.1,-,6276377,6276532,21
ENSG00000280019.1,ENST00000624484.1,-,6276087,6276203,21
ENSG00000280019.1,ENST00000624484.1,-,6275867,6276013,21
ENSG00000280019.1,ENST00000624484.1,-,6275273,6275371,21
ENSG00000280019.1,ENST00000624484.1,-,6274937,6275041,21
ENSG00000280019.1,ENST00000624484.1,-,6274151,6274249,21
ENSG00000280019.1,ENST00000624484.1,-,6273922,6274032,21
ENSG00000280019.1,ENST00000624484.1,-,6272967,6273026,21
ENSG00000280019.1,ENST00000624484.1,-,6272782,6272880,21
ENSG00000280019.1,ENST00000624484.1,-,6272135,6272164,21
ENSG00000279709.1,ENST00000623377.1,+,6309161,6309304,21
ENSG00000279709.1,ENST00000623377.1,+,6309700,6309816,21
ENSG00000279709.1,ENST00000623377.1,+,6310672,6310779,21
ENSG00000279709.1,ENST00000623377.1,+,6311466,6311556,21
ENSG00000279709.1,ENST00000623377.1,+,6311679,6311847,21
ENSG00000279709.1,ENST00000623377.1,+,6312837,6312948,21
ENSG00000276902.1,ENST00000615262.1,+,6365955,6366055,21
ENSG00000279788.1,ENST00000624266.1,-,6679812,6679962,21
ENSG00000279788.1,ENST00000624266.1,-,6679545,6679635,21
ENSG00000279788.1,ENST00000624266.1,-,6679281,6679410,21
ENSG00000279788.1,ENST00000624266.1,-,6678660,6678789,21
ENSG00000279788.1,ENST00000624266.1,-,6678348,6678450,21
ENSG00000279788.1,ENST00000624266.1,-,6677571,6677661,21
ENSG00000279788.1,ENST00000624266.1,-,6677311,6677445,21
ENSG00000279788.1,ENST00000624266.1,-,6676377,6676454,21
ENSG00000279788.1,ENST00000624266.1,-,6676178,6676299,21
ENSG00000279728.1,ENST00000623809.1,+,6712596,6712737,21
ENSG00000279728.1,ENST00000623809.1,+,6712926,6713031,21
ENSG00000279728.1,ENST00000623809.1,+,6713139,6713250,21
ENSG00000279728.1,ENST00000623809.1,+,6713757,6713850,21
ENSG00000279728.1,ENST00000623809.1,+,6714090,6714183,21
ENSG00000279728.1,ENST00000623809.1,+,6714879,6714969,21
ENSG00000279728.1,ENST00000623809.1,+,6716097,6716157,21
ENSG00000279728.1,ENST00000623809.1,+,6716244,6716361,21
ENSG00000225043.1,ENST00000450007.1,-,46420553,46421034,21
ENSG00000223692.1,ENST00000442434.1,+,46462471,46462522,21
ENSG00000223692.1,ENST00000442434.1,+,46462712,46462763,21
ENSG00000223692.1,ENST00000442434.1,+,46463066,46463228,21
ENSG00000223692.1,ENST00000442434.1,+,46469146,46469306,21
ENSG00000202239.1,ENST00000365369.1,+,46525618,46525722,21
ENSG00000215088.3,ENST00000414617.1,-,33481580,33482195,21
ENSG00000233956.1,ENST00000448054.1,-,33518610,33519108,21
ENSG00000284448.1,ENST00000290239.7,+,33550662,33550728,21
ENSG00000270116.1,ENST00000602568.1,+,37100814,37101343,21
ENSG00000263969.2,ENST00000579533.2,+,37215605,37215903,21
ENSG00000197683.5,ENST00000360542.5,-,30319124,30320315,21
ENSG00000206107.2,ENST00000382835.2,-,30337013,30337694,21
ENSG00000250973.1,ENST00000508999.1,-,30356515,30356885,21
ENSG00000182816.9,ENST00000399889.4,-,30371390,30372271,21
ENSG00000265007.1,ENST00000581194.1,-,30375294,30375378,21
ENSG00000198390.5,ENST00000355459.4,+,30396031,30396822,21
ENSG00000233640.2,ENST00000418755.1,-,30436466,30436964,21
ENSG00000186970.5,ENST00000334067.5,+,30440275,30440869,21
ENSG00000184351.8,ENST00000390689.3,-,30479706,30480367,21
ENSG00000186965.5,ENST00000334055.5,-,30487043,30487436,21
ENSG00000244025.5,ENST00000334063.6,-,30491462,30492013,21
ENSG00000186967.7,ENST00000334058.3,-,30496824,30497165,21
ENSG00000186977.3,ENST00000334151.3,-,30501657,30502141,21
ENSG00000237841.1,ENST00000421795.1,-,30510307,30510497,21
ENSG00000235312.1,ENST00000445258.1,-,30514613,30514799,21
ENSG00000218125.1,ENST00000406413.1,-,30526546,30526701,21
ENSG00000236612.1,ENST00000439851.1,-,30537278,30537381,21
ENSG00000186925.6,ENST00000334046.5,-,30541535,30541864,21
ENSG00000244362.3,ENST00000334849.2,-,30560875,30561314,21
ENSG00000206106.2,ENST00000382830.2,-,30590105,30590397,21
ENSG00000186924.3,ENST00000334680.3,+,30601087,30601382,21
ENSG00000244624.3,ENST00000334664.3,+,30616425,30616699,21
ENSG00000206105.2,ENST00000382828.2,+,30620627,30620850,21
ENSG00000184032.3,ENST00000330798.3,+,30635206,30635619,21
ENSG00000206104.2,ENST00000382826.2,+,30642864,30643136,21
ENSG00000231068.1,ENST00000444335.1,-,30718525,30718777,21
ENSG00000236400.1,ENST00000454921.1,-,30741780,30742595,21
ENSG00000187026.3,ENST00000333892.3,-,30746794,30747259,21
ENSG00000187005.5,ENST00000335093.5,-,30755015,30755428,21
ENSG00000186980.7,ENST00000334160.6,-,30348399,30348606,21
ENSG00000240432.4,ENST00000390690.3,-,30425380,30425926,21
ENSG00000252273.1,ENST00000516464.1,-,16035413,16035509,21
ENSG00000214976.2,ENST00000399358.2,-,16094415,16095372,21
ENSG00000224602.1,ENST00000418544.1,-,16121310,16121644,21
ENSG00000201025.1,ENST00000364155.1,-,16284696,16284768,21
ENSG00000270139.1,ENST00000602454.1,-,16419037,16419080,21
ENSG00000270139.1,ENST00000602454.1,-,16418859,16418961,21
ENSG00000270139.1,ENST00000602454.1,-,16417139,16417458,21
ENSG00000287066.1,ENST00000661484.1,-,16507754,16507916,21
ENSG00000287066.1,ENST00000661484.1,-,16505555,16506023,21
ENSG00000280432.1,ENST00000624971.1,+,16525919,16527019,21
ENSG00000207638.1,ENST00000384906.1,+,16539089,16539169,21
ENSG00000199030.2,ENST00000362160.2,+,16539828,16539911,21
ENSG00000269950.1,ENST00000602654.1,-,16582464,16582637,21
ENSG00000269950.1,ENST00000602654.1,-,16574718,16575272,21
ENSG00000207863.1,ENST00000385128.1,+,16590237,16590325,21
ENSG00000239023.1,ENST00000458992.1,+,16718998,16719157,21
ENSG00000186971.4,ENST00000334068.4,+,30430220,30431026,21
ENSG00000186930.4,ENST00000334897.4,-,30598590,30598902,21
ENSG00000184724.5,ENST00000329122.2,-,30613431,30613930,21
ENSG00000279493.1,ENST00000624081.1,+,5011799,5011874,21
ENSG00000279493.1,ENST00000624081.1,+,5012548,5012687,21
ENSG00000279493.1,ENST00000624081.1,+,5014386,5014471,21
ENSG00000279493.1,ENST00000624081.1,+,5016935,5017145,21
ENSG00000275464.6,ENST00000617716.4,-,5154623,5154658,21
ENSG00000275464.6,ENST00000617716.4,-,5152961,5153073,21
ENSG00000275464.6,ENST00000617716.4,-,5148210,5148304,21
ENSG00000275464.6,ENST00000617716.4,-,5147779,5147878,21
ENSG00000275464.6,ENST00000617716.4,-,5147289,5147432,21
ENSG00000275464.6,ENST00000617716.4,-,5146658,5146793,21
ENSG00000275464.6,ENST00000617716.4,-,5146137,5146366,21
ENSG00000275464.6,ENST00000617716.4,-,5144091,5144234,21
ENSG00000275464.6,ENST00000617716.4,-,5143222,5143292,21
ENSG00000275464.6,ENST00000617716.4,-,5142532,5142668,21
ENSG00000275464.6,ENST00000617716.4,-,5141559,5141707,21
ENSG00000275464.6,ENST00000617716.4,-,5141277,5141424,21
ENSG00000275464.6,ENST00000617716.4,-,5140953,5141103,21
ENSG00000275464.6,ENST00000617716.4,-,5139698,5139878,21
ENSG00000275464.6,ENST00000617716.4,-,5137327,5137474,21
ENSG00000275464.6,ENST00000617716.4,-,5135935,5136043,21
ENSG00000275464.6,ENST00000617716.4,-,5135089,5135154,21
ENSG00000275464.6,ENST00000617716.4,-,5133902,5134120,21
ENSG00000275464.6,ENST00000617716.4,-,5133655,5133805,21
ENSG00000275464.6,ENST00000617716.4,-,5133426,5133500,21
ENSG00000275464.6,ENST00000617716.4,-,5130871,5131455,21
ENSG00000280071.5,ENST00000620528.5,-,5128214,5128369,21
ENSG00000280071.5,ENST00000620528.5,-,5127898,5127950,21
ENSG00000280071.5,ENST00000620528.5,-,5125879,5125992,21
ENSG00000280071.5,ENST00000620528.5,-,5124756,5124875,21
ENSG00000280071.5,ENST00000620528.5,-,5121711,5121803,21
ENSG00000280071.5,ENST00000620528.5,-,5118691,5118847,21
ENSG00000280071.5,ENST00000620528.5,-,5116341,5117231,21
ENSG00000279687.1,ENST00000623188.1,+,5073458,5073685,21
ENSG00000279687.1,ENST00000623188.1,+,5087617,5087867,21
ENSG00000277117.6,ENST00000623960.4,+,5022531,5022693,21
ENSG00000277117.6,ENST00000623960.4,+,5025009,5025049,21
ENSG00000277117.6,ENST00000623960.4,+,5026280,5026630,21
ENSG00000277117.6,ENST00000623960.4,+,5027935,5028225,21
ENSG00000277117.6,ENST00000623960.4,+,5032053,5032217,21
ENSG00000277117.6,ENST00000623960.4,+,5033408,5033443,21
ENSG00000277117.6,ENST00000623960.4,+,5034582,5036771,21
ENSG00000280433.2,ENST00000623998.1,-,5163518,5163695,21
ENSG00000280433.2,ENST00000623998.1,-,5159080,5159274,21
ENSG00000280433.2,ENST00000623998.1,-,5155499,5158759,21
ENSG00000224427.1,ENST00000444036.1,-,32841496,32841811,21
ENSG00000207098.1,ENST00000384370.1,-,32841861,32841995,21
ENSG00000273796.2,ENST00000617004.2,-,45403809,45404943,21
ENSG00000225431.2,ENST00000419628.2,-,42614853,42615094,21
ENSG00000225431.2,ENST00000419628.2,-,42599280,42600848,21
ENSG00000223431.1,ENST00000443620.1,+,44472895,44473247,21
ENSG00000223431.1,ENST00000443620.1,+,44473611,44473739,21
ENSG00000226501.3,ENST00000451645.2,+,33334596,33335097,21
ENSG00000187172.16,ENST00000496773.1,+,10454134,10454296,21
ENSG00000187172.16,ENST00000496773.1,+,10462836,10463007,21
ENSG00000187172.16,ENST00000496773.1,+,10464862,10464976,21
ENSG00000187172.16,ENST00000496773.1,+,10473010,10473729,21
ENSG00000187172.16,ENST00000496773.1,+,10482740,10482859,21
ENSG00000187172.16,ENST00000496773.1,+,10485618,10485734,21
ENSG00000187172.16,ENST00000496773.1,+,10491246,10491347,21
ENSG00000187172.16,ENST00000496773.1,+,10491540,10491644,21
ENSG00000187172.16,ENST00000496773.1,+,10496913,10497099,21
ENSG00000187172.16,ENST00000496773.1,+,10497355,10497519,21
ENSG00000187172.16,ENST00000496773.1,+,10498857,10498966,21
ENSG00000187172.16,ENST00000496773.1,+,10499475,10499540,21
ENSG00000187172.16,ENST00000496773.1,+,10500807,10501019,21
ENSG00000187172.16,ENST00000496773.1,+,10514122,10514250,21
ENSG00000187172.16,ENST00000496773.1,+,10516318,10516431,21
ENSG00000224309.8,ENST00000435744.5,+,13038208,13038424,21
ENSG00000224309.8,ENST00000435744.5,+,13042502,13042616,21
ENSG00000224309.8,ENST00000435744.5,+,13042779,13042952,21
ENSG00000224309.8,ENST00000435744.5,+,13045163,13045270,21
ENSG00000224309.8,ENST00000435744.5,+,13046236,13046373,21
ENSG00000224309.8,ENST00000435744.5,+,13048965,13049029,21
ENSG00000224309.8,ENST00000435744.5,+,13051796,13051889,21
ENSG00000224309.8,ENST00000435744.5,+,13060577,13060883,21
ENSG00000224309.8,ENST00000435744.5,+,13065175,13065242,21
ENSG00000224309.8,ENST00000435744.5,+,13065558,13065699,21
ENSG00000224309.8,ENST00000435744.5,+,13066852,13067033,21
ENSG00000243064.11,ENST00000463099.1,+,14274092,14274157,21
ENSG00000243064.11,ENST00000463099.1,+,14279596,14279657,21
ENSG00000243064.11,ENST00000463099.1,+,14287550,14287697,21
ENSG00000243064.11,ENST00000463099.1,+,14288404,14288546,21
ENSG00000243064.11,ENST00000463099.1,+,14291570,14291747,21
ENSG00000243064.11,ENST00000463099.1,+,14299438,14299681,21
ENSG00000243064.11,ENST00000463099.1,+,14302075,14302140,21
ENSG00000243064.11,ENST00000463099.1,+,14304223,14304360,21
ENSG00000243064.11,ENST00000463099.1,+,14305696,14305842,21
ENSG00000243064.11,ENST00000463099.1,+,14308371,14308455,21
ENSG00000243064.11,ENST00000463099.1,+,14308553,14308619,21
ENSG00000243064.11,ENST00000463099.1,+,14308972,14309098,21
ENSG00000243064.11,ENST00000463099.1,+,14312944,14313120,21
ENSG00000243064.11,ENST00000463099.1,+,14316201,14316368,21
ENSG00000243064.11,ENST00000463099.1,+,14317473,14317635,21
ENSG00000243064.11,ENST00000463099.1,+,14323512,14323587,21
ENSG00000243064.11,ENST00000463099.1,+,14337180,14337240,21
ENSG00000243064.11,ENST00000463099.1,+,14337781,14338000,21
ENSG00000243064.11,ENST00000463099.1,+,14345156,14345310,21
ENSG00000243064.11,ENST00000463099.1,+,14348016,14348171,21
ENSG00000243064.11,ENST00000463099.1,+,14352629,14352828,21
ENSG00000243064.11,ENST00000463099.1,+,14353554,14353680,21
ENSG00000243064.11,ENST00000463099.1,+,14355041,14355142,21
ENSG00000243064.11,ENST00000463099.1,+,14357731,14357874,21
ENSG00000243064.11,ENST00000463099.1,+,14359150,14359309,21
ENSG00000243064.11,ENST00000463099.1,+,14360840,14361003,21
ENSG00000243064.11,ENST00000463099.1,+,14362032,14362226,21
ENSG00000243064.11,ENST00000463099.1,+,14362652,14362754,21
ENSG00000227438.1,ENST00000454245.1,-,46097472,46097530,21
ENSG00000227438.1,ENST00000454245.1,-,46093264,46093876,21
ENSG00000278381.1,ENST00000613704.1,+,13654073,13654356,21
ENSG00000227874.1,ENST00000435181.1,-,13667099,13667546,21
ENSG00000227874.1,ENST00000435181.1,-,13665868,13666529,21
ENSG00000214319.2,ENST00000398098.2,+,13676022,13677116,21
ENSG00000279773.1,ENST00000624520.1,-,13679300,13681138,21
ENSG00000273692.1,ENST00000619798.1,+,13704853,13705518,21
ENSG00000278618.1,ENST00000621412.1,+,13724189,13724274,21
ENSG00000229231.1,ENST00000431297.1,+,13762338,13764332,21
ENSG00000224922.1,ENST00000444356.1,+,13769932,13770213,21
ENSG00000224922.1,ENST00000444356.1,+,13771565,13771740,21
ENSG00000173231.6,ENST00000311003.6,+,13776086,13777266,21
ENSG00000232797.1,ENST00000443486.1,+,13792635,13793141,21
ENSG00000224860.1,ENST00000433312.1,-,13824406,13825635,21
ENSG00000215562.2,ENST00000400583.2,+,13826696,13827627,21
ENSG00000234538.1,ENST00000453500.1,+,13839118,13839409,21
ENSG00000228314.2,ENST00000420685.1,-,13847450,13847713,21
ENSG00000228314.2,ENST00000420685.1,-,13847063,13847123,21
ENSG00000228314.2,ENST00000420685.1,-,13846759,13846879,21
ENSG00000230965.1,ENST00000412442.1,-,13905960,13906488,21
ENSG00000290581.1,ENST00000442192.4,-,13935515,13935655,21
ENSG00000290581.1,ENST00000442192.4,-,13932228,13932374,21
ENSG00000290581.1,ENST00000442192.4,-,13925164,13925293,21
ENSG00000290581.1,ENST00000442192.4,-,13917555,13917836,21
ENSG00000290581.1,ENST00000442192.4,-,13911718,13911763,21
ENSG00000290581.1,ENST00000442192.4,-,13910496,13910549,21
ENSG00000290581.1,ENST00000442192.4,-,13909574,13909693,21
ENSG00000215559.9,ENST00000451663.5,-,13979702,13979911,21
ENSG00000215559.9,ENST00000451663.5,-,13975520,13975634,21
ENSG00000215559.9,ENST00000451663.5,-,13975184,13975357,21
ENSG00000215559.9,ENST00000451663.5,-,13971167,13971273,21
ENSG00000215559.9,ENST00000451663.5,-,13969973,13970110,21
ENSG00000215559.9,ENST00000451663.5,-,13967381,13967436,21
ENSG00000215559.9,ENST00000451663.5,-,13960809,13960839,21
ENSG00000215559.9,ENST00000451663.5,-,13958116,13958185,21
ENSG00000215559.9,ENST00000451663.5,-,13954066,13954150,21
ENSG00000215559.9,ENST00000451663.5,-,13951232,13951260,21
ENSG00000215559.9,ENST00000451663.5,-,13951067,13951139,21
ENSG00000215559.9,ENST00000451663.5,-,13945039,13945109,21
ENSG00000215559.9,ENST00000451663.5,-,13940815,13940978,21
ENSG00000215559.9,ENST00000451663.5,-,13939246,13939428,21
ENSG00000215559.9,ENST00000451663.5,-,13937535,13938067,21
ENSG00000215559.9,ENST00000451663.5,-,13933838,13934227,21
ENSG00000215559.9,ENST00000451663.5,-,13932228,13932374,21
ENSG00000215559.9,ENST00000451663.5,-,13927335,13927447,21
ENSG00000215559.9,ENST00000451663.5,-,13925164,13925293,21
ENSG00000215559.9,ENST00000451663.5,-,13917555,13917836,21
ENSG00000215559.9,ENST00000451663.5,-,13916747,13916958,21
ENSG00000215559.9,ENST00000451663.5,-,13915187,13915409,21
ENSG00000215559.9,ENST00000451663.5,-,13911718,13911763,21
ENSG00000215559.9,ENST00000451663.5,-,13910496,13910549,21
ENSG00000215559.9,ENST00000451663.5,-,13909574,13909654,21
ENSG00000203616.2,ENST00000366423.2,-,13936993,13937325,21
ENSG00000228600.1,ENST00000453699.1,+,14757588,14758352,21
ENSG00000225502.2,ENST00000448152.2,+,14774301,14775262,21
ENSG00000226406.1,ENST00000454795.1,-,14829154,14829989,21
ENSG00000279390.1,ENST00000623352.1,+,15050189,15052379,21
ENSG00000236471.1,ENST00000449746.1,+,15067070,15067212,21
ENSG00000236471.1,ENST00000449746.1,+,15067535,15067837,21
ENSG00000248476.1,ENST00000504298.1,+,29351634,29351813,21
ENSG00000248476.1,ENST00000504298.1,+,29352579,29352663,21
ENSG00000248476.1,ENST00000504298.1,+,29361031,29361243,21
ENSG00000248476.1,ENST00000504298.1,+,29361552,29361894,21
ENSG00000273017.1,ENST00000609910.1,+,29359002,29359453,21
ENSG00000234293.1,ENST00000429843.1,+,29496047,29496238,21
ENSG00000234293.1,ENST00000429843.1,+,29500173,29500386,21
ENSG00000273464.1,ENST00000608759.1,+,29657406,29657831,21
ENSG00000279998.1,ENST00000623678.1,+,6789592,6789706,21
ENSG00000279998.1,ENST00000623678.1,+,6797730,6797785,21
ENSG00000279998.1,ENST00000623678.1,+,6810857,6812297,21
ENSG00000284550.1,ENST00000616627.1,+,6859171,6859256,21
ENSG00000280172.1,ENST00000623131.1,+,6897291,6899280,21
ENSG00000279751.1,ENST00000623720.1,+,6904884,6905165,21
ENSG00000279751.1,ENST00000623720.1,+,6906517,6906692,21
ENSG00000274276.6,ENST00000398168.6,-,6467448,6467513,21
ENSG00000274276.6,ENST00000398168.6,-,6464944,6465019,21
ENSG00000274276.6,ENST00000398168.6,-,6463663,6463879,21
ENSG00000274276.6,ENST00000398168.6,-,6460187,6460293,21
ENSG00000274276.6,ENST00000398168.6,-,6457921,6458055,21
ENSG00000274276.6,ENST00000398168.6,-,6457294,6457373,21
ENSG00000274276.6,ENST00000398168.6,-,6457065,6457199,21
ENSG00000274276.6,ENST00000398168.6,-,6456881,6456950,21
ENSG00000274276.6,ENST00000398168.6,-,6455578,6455669,21
ENSG00000274276.6,ENST00000398168.6,-,6454631,6454756,21
ENSG00000274276.6,ENST00000398168.6,-,6453989,6454073,21
ENSG00000274276.6,ENST00000398168.6,-,6452119,6452224,21
ENSG00000274276.6,ENST00000398168.6,-,6450904,6450981,21
ENSG00000274276.6,ENST00000398168.6,-,6450512,6450646,21
ENSG00000274276.6,ENST00000398168.6,-,6449823,6449931,21
ENSG00000274276.6,ENST00000398168.6,-,6448481,6448565,21
ENSG00000274276.6,ENST00000398168.6,-,6444869,6445661,21
ENSG00000275895.8,ENST00000610664.5,-,6499129,6499248,21
ENSG00000275895.8,ENST00000610664.5,-,6495993,6496080,21
ENSG00000275895.8,ENST00000610664.5,-,6492131,6492197,21
ENSG00000275895.8,ENST00000610664.5,-,6487363,6487412,21
ENSG00000275895.8,ENST00000610664.5,-,6487107,6487205,21
ENSG00000275895.8,ENST00000610664.5,-,6486322,6486455,21
ENSG00000275895.8,ENST00000610664.5,-,6486138,6486230,21
ENSG00000275895.8,ENST00000610664.5,-,6484623,6484916,21
ENSG00000276076.6,ENST00000619537.5,+,6499203,6499773,21
ENSG00000276076.6,ENST00000619537.5,+,6501020,6501194,21
ENSG00000276076.6,ENST00000619537.5,+,6560072,6560971,21
ENSG00000276076.6,ENST00000619537.5,+,6562201,6562323,21
ENSG00000276076.6,ENST00000619537.5,+,6563755,6564489,21
ENSG00000274559.3,ENST00000464664.3,-,5972924,5973383,21
ENSG00000280013.1,ENST00000623928.1,+,6008604,6008810,21
ENSG00000280191.4,ENST00000624561.1,+,6060340,6060499,21
ENSG00000280191.4,ENST00000624561.1,+,6062524,6062591,21
ENSG00000280191.4,ENST00000624561.1,+,6066867,6067049,21
ENSG00000280191.4,ENST00000624561.1,+,6076004,6076305,21
ENSG00000280179.2,ENST00000624872.1,-,6091367,6091407,21
ENSG00000280179.2,ENST00000624872.1,-,6089196,6089499,21
ENSG00000280179.2,ENST00000624872.1,-,6087345,6087527,21
ENSG00000280179.2,ENST00000624872.1,-,6084381,6087093,21
ENSG00000275993.4,ENST00000613488.3,+,6111131,6111252,21
ENSG00000275993.4,ENST00000613488.3,+,6112070,6112239,21
ENSG00000275993.4,ENST00000613488.3,+,6112739,6112855,21
ENSG00000275993.4,ENST00000613488.3,+,6116224,6116287,21
ENSG00000275993.4,ENST00000613488.3,+,6116462,6116623,21
ENSG00000275993.4,ENST00000613488.3,+,6116894,6117018,21
ENSG00000275993.4,ENST00000613488.3,+,6117128,6117251,21
ENSG00000275993.4,ENST00000613488.3,+,6117804,6118027,21
ENSG00000275993.4,ENST00000613488.3,+,6118256,6118402,21
ENSG00000275993.4,ENST00000613488.3,+,6118783,6118908,21
